contestId,index,name,type,points,tags,rating,difficulty_bucket,num_tags,index_letter,is_versioned,name_length,has_special_tag,tag_binary_search,tag_bitmasks,tag_brute_force,tag_chinese_remainder_theorem,tag_combinatorics,tag_communication,tag_constructive_algorithms,tag_data_structures,tag_dfs_and_similar,tag_divide_and_conquer,tag_dp,tag_dsu,tag_expression_parsing,tag_fft,tag_flows,tag_games,tag_geometry,tag_graph_matchings,tag_graphs,tag_greedy,tag_hashing,tag_implementation,tag_interactive,tag_math,tag_matrices,tag_number_theory,tag_probabilities,tag_schedules,tag_shortest_paths,tag_sortings,tag_string_suffix_structures,tag_strings,tag_ternary_search,tag_trees,tag_two_pointers
2236,G,Criterion in Burlandia,PROGRAMMING,1250.0,"['binary search', 'bitmasks', 'brute force', 'data structures', 'dfs and similar', 'divide and conquer', 'implementation', 'trees', 'two pointers']",2600,Expert,9,G,0,22,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
2236,F2,Elections in Saransk (hard version),PROGRAMMING,1250.0,"['combinatorics', 'dp', 'math', 'number theory']",2200,Hard,4,F,1,35,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
2236,F1,Elections in Saransk (easy version),PROGRAMMING,1250.0,['number theory'],1700,Medium,1,F,1,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2236,E,Friendly Gifts,PROGRAMMING,1250.0,"['brute force', 'dp']",1700,Medium,2,E,0,14,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2236,D,Brand New Tatar TV Show,PROGRAMMING,1250.0,"['binary search', 'constructive algorithms', 'dp', 'games', 'math']",1300,Medium,5,D,0,23,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2236,C,Omsk Programmers,PROGRAMMING,1250.0,"['brute force', 'greedy', 'math']",1000,Easy,3,C,0,16,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2236,B,Tatar TV Show,PROGRAMMING,1250.0,"['greedy', 'math', 'strings']",800,Easy,3,B,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
2236,A,Games on the Train,PROGRAMMING,1250.0,"['greedy', 'math']",800,Easy,2,A,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2234,G,"Stripe, Token and Two Players",PROGRAMMING,3250.0,"['data structures', 'dp', 'games']",2700,Expert,3,G,0,29,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2234,F,"Vessels, Heights and Two Versions (Hard Version)",PROGRAMMING,1750.0,"['data structures', 'dfs and similar', 'dsu', 'greedy', 'implementation', 'two pointers']",1900,Hard,6,F,1,48,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2234,E,"Vlad, Misha and Two Arrays",PROGRAMMING,2500.0,"['brute force', 'combinatorics', 'dfs and similar', 'divide and conquer', 'math']",2100,Hard,5,E,0,26,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2234,D,"XOR, Expression and Two Binary Numbers",PROGRAMMING,1750.0,"['bitmasks', 'divide and conquer', 'dp', 'math', 'number theory']",1500,Medium,5,D,0,38,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
2234,C,"Vessels, Heights and Two Versions (Easy Version)",PROGRAMMING,1250.0,"['dfs and similar', 'dsu', 'greedy', 'implementation', 'two pointers']",1200,Medium,5,C,1,48,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2234,B,"Palindrome, Twelve and Two Terms",PROGRAMMING,750.0,"['brute force', 'constructive algorithms', 'math']",800,Easy,3,B,0,32,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2234,A,"Euclid, Sequence and Two Numbers",PROGRAMMING,500.0,"['math', 'number theory', 'sortings']",800,Easy,3,A,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0
2233,F,Shortest GCD Paths,PROGRAMMING,1250.0,"['dp', 'graphs', 'math', 'number theory', 'shortest paths']",2800,Expert,5,F,0,18,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0
2233,E2,Permutation Transmission (Difficult Version),PROGRAMMING,1250.0,"['bitmasks', 'combinatorics', 'sortings']",2300,Hard,3,E,1,44,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2233,E1,Permutation Transmission (Easy Version),PROGRAMMING,1250.0,"['bitmasks', 'combinatorics', 'sortings']",2200,Hard,3,E,1,39,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2233,D,Goods on the Shelf,PROGRAMMING,1250.0,"['brute force', 'data structures', 'implementation', 'two pointers']",1900,Hard,4,D,0,18,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2233,C,Cost of a Bracket Sequence,PROGRAMMING,1250.0,"['brute force', 'dp', 'greedy']",1400,Medium,3,C,0,26,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2233,B,Different Distances,PROGRAMMING,1250.0,['constructive algorithms'],900,Easy,1,B,0,19,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2233,A,AI Project Development,PROGRAMMING,1250.0,"['brute force', 'math']",800,Easy,2,A,0,22,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2232,F,The Cake Is a Lie,PROGRAMMING,3250.0,"['greedy', 'math', 'number theory']",3000,Expert,3,F,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
2232,E,Snaking Arrangement,PROGRAMMING,2750.0,"['combinatorics', 'constructive algorithms']",2600,Expert,2,E,0,19,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2232,D,Magical Tiered Cake,PROGRAMMING,2000.0,"['constructive algorithms', 'dfs and similar', 'dp', 'greedy']",2000,Hard,4,D,0,19,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2232,C2,Seating Arrangement (Hard Version),PROGRAMMING,1000.0,"['binary search', 'greedy', 'math', 'two pointers']",1500,Medium,4,C,1,34,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2232,C1,Seating Arrangement (Easy Version),PROGRAMMING,750.0,"['binary search', 'dp', 'greedy', 'two pointers']",1300,Medium,4,C,1,34,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2232,B,Cake Leveling,PROGRAMMING,1000.0,"['binary search', 'greedy', 'math']",900,Easy,3,B,0,13,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2232,A,Convergence,PROGRAMMING,500.0,"['greedy', 'sortings']",800,Easy,2,A,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2231,F,Quadratic Jumps,PROGRAMMING,2750.0,"['brute force', 'constructive algorithms', 'greedy', 'math', 'number theory']",2600,Expert,5,F,0,15,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
2231,E,Graph Cutting,PROGRAMMING,2500.0,"['dfs and similar', 'dp', 'math', 'trees']",2300,Hard,4,E,0,13,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
2231,D,Maximum Prefix Sums,PROGRAMMING,2000.0,"['constructive algorithms', 'greedy', 'implementation', 'two pointers']",1900,Hard,4,D,0,19,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2231,C,Chipmunk Theo and Equality,PROGRAMMING,1250.0,"['implementation', 'sortings']",1400,Medium,2,C,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2231,B,Another Sorting Problem,PROGRAMMING,1000.0,['constructive algorithms'],1100,Easy,1,B,0,23,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2231,A,Construct an Array,PROGRAMMING,500.0,['constructive algorithms'],800,Easy,1,A,0,18,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2230,F,Game on Growing Tree,PROGRAMMING,1250.0,"['binary search', 'dfs and similar', 'divide and conquer', 'dp', 'games', 'implementation', 'trees']",2700,Expert,7,F,0,20,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
2230,E,Minimum Influence,PROGRAMMING,1250.0,"['binary search', 'data structures', 'greedy', 'implementation', 'math', 'sortings', 'two pointers']",2100,Hard,7,E,0,17,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1
2230,D,Good Schedule,PROGRAMMING,1250.0,"['dp', 'greedy']",1700,Medium,2,D,0,13,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2230,C,Arrange the Numbers in a Circle,PROGRAMMING,1250.0,"['constructive algorithms', 'implementation', 'math']",1300,Medium,3,C,0,31,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2230,B,Digit String,PROGRAMMING,1250.0,"['greedy', 'implementation', 'math']",1000,Easy,3,B,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2230,A,Optimal Purchase,PROGRAMMING,1250.0,"['implementation', 'math']",800,Easy,2,A,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2229,I,The Endians,PROGRAMMING,5000.0,"['dp', 'trees']",3400,Expert,2,I,0,11,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2229,H,Wowee Binary String,PROGRAMMING,4000.0,"['combinatorics', 'dp', 'strings']",3200,Expert,3,H,0,19,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2229,G,Roadworks,PROGRAMMING,3250.0,"['binary search', 'data structures', 'dp', 'greedy', 'two pointers']",2900,Expert,5,G,0,9,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2229,F,Load Unbalancing,PROGRAMMING,2500.0,"['binary search', 'bitmasks', 'dp', 'greedy']",2400,Expert,4,F,0,16,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2229,E,Deconstruction Tree,PROGRAMMING,2500.0,"['combinatorics', 'data structures', 'dp', 'graphs', 'trees']",2100,Hard,5,E,0,19,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2229,D,Me When Median Problem,PROGRAMMING,2000.0,"['binary search', 'greedy']",1700,Medium,2,D,0,22,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2229,C2,We Be Flipping (Hard Version),PROGRAMMING,1250.0,"['constructive algorithms', 'dp', 'greedy']",1400,Medium,3,C,1,29,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2229,C1,We Be Flipping (Easy Version),PROGRAMMING,750.0,"['constructive algorithms', 'greedy']",900,Easy,2,C,1,29,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2229,B,Absolute Cinema,PROGRAMMING,750.0,"['greedy', 'math']",800,Easy,2,B,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2229,A,Slimes on a Line,PROGRAMMING,500.0,"['brute force', 'greedy', 'math']",800,Easy,3,A,0,16,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2228,F,Momoyo and the Network,PROGRAMMING,3500.0,"['binary search', 'dfs and similar', 'divide and conquer', 'dp', 'trees']",2700,Expert,5,F,0,22,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
